breadcrumbs,image url,brand,product name,product id,price,special_price,discount,sizes,description,other images
"['Men', 'Jil Sander', 'Shoes', 'Boots', 'Chelsea boots', 'Leather Chelsea boots']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a7/P00682662.jpg,Jil Sander,Leather Chelsea boots,P00682662,€ 755,€ 528,30%,"['EU_ 39', 'EU_ 40', 'EU_ 41', 'EU_ 42', 'EU_ 43', 'EU_ 44', 'EU_ 45']","Simple and uncomplicated but nevertheless elegant, these Jil Sander Chelsea boots are crafted in Italy from smooth leather. They feature chunky rubber soles, round toes, and elasticated side gussets for easy on-off wear.upper: leather lining: leather sole: leather insole, rubber sole round toe elasticated sides Made in Italy comes with dust bag , comes with a box Designer colour name: Snow True to size Half sizes please take the next size up European sizes","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a7/P00682662_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a7/P00682662_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a7/P00682662_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a7/P00682662_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a7/P00682662_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a7/P00682662_d4.jpg']"
"['Men', 'Dolce&Gabbana', 'Shoes', 'Sneakers', 'Designer sneakers', 'Portofino leather sneakers']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f3/P00677349.jpg,Dolce&Gabbana,Portofino leather sneakers,P00677349,€ 620,€ 434,30%,"['EU_ 40', 'EU_ 41', 'EU_ 42', 'EU_ 43', 'EU_ 44', 'EU_ 45', 'EU_ 46', 'EU_ 47']","Dolce&Gabbana's Portofino sneakers get a gilded update with metal-plated logo tags secured across the uppers. Made in Italy, the low-top lace-ups are made from nappa leather.upper: leather lining: leather sole: leather insole, rubber sole round toe lace-up Made in Italy comes with dust bag  comes with a box Designer colour name: White True to size Half sizes please take the next size up European sizes","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f3/P00677349_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f3/P00677349_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f3/P00677349_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f3/P00677349_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f3/P00677349_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f3/P00677349_d4.jpg']"
"['Men', 'Dolce&Gabbana', 'Shoes', 'Sandals & slides', 'Embellished leather sandals']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/82/P00667226.jpg,Dolce&Gabbana,Embellished leather sandals,P00667226,€ 730,€ 511,30%,"['EU_ 40', 'EU_ 41', 'EU_ 42', 'EU_ 43', 'EU_ 44', 'EU_ 45', 'EU_ 46']","Step into Dolce&Gabbana’s bold vision with these leather sandals, part of the Dark Side collection that’s inspired by punk rock. This style has triple hook-and-loop closures that are embellished with DG plaques.upper: lamb leather lining: leather sole: leather insole, rubber sole round open toe VELCRO®-fastening ankle strap, VELCRO® fastening Made in Italy comes with dust bag , comes with a box Designer colour name: Black True to size Half sizes please take the next size down European sizes 4,5cm-2"" platform","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/82/P00667226_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/82/P00667226_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/82/P00667226_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/82/P00667226_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/82/P00667226_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/82/P00667226_d4.jpg']"
"['Men', 'Zegna', 'Sale', 'Shoes', 'Sneakers', 'Leather sneakers with concealed laces']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7f/P00480289.jpg,Zegna,Leather sneakers with concealed laces,P00480289,€ 505,€ 353,30%,"['UK_ 5', 'EU 39', 'UK_ 6', 'EU 40', 'UK_ 7', 'EU 41', 'UK_ 8', 'EU 42', 'UK_ 9', 'EU 43', 'UK_ 10', 'EU 44', 'UK_ 11', 'EU 45', 'UK_ 12', 'EU 46', 'UK_ 13', 'EU 47']","Crafted in Italy from supple full-grain leather, these navy blue Ermenegildo Zegna sneakers have partially concealed elasticated laces echoing the label's triple-X motif.upper: deer leather lining: leather sole: leather insole, rubber sole round toe lace-up Made in Italy Designer colour name: Nav  True to size Half sizes please take the next size up UK sizes","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7f/P00480289_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7f/P00480289_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7f/P00480289_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7f/P00480289_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7f/P00480289_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7f/P00480289_d4.jpg']"
"['Men', 'Valentino Garavani', 'Shoes', 'Formal shoes', 'Loafers', 'VLogo leather penny loafers']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2c/P00689123.jpg,Valentino Garavani,VLogo leather penny loafers,P00689123,€ 730,€ 511,30%,"['EU_ 39', 'EU_ 40', 'EU_ 41', 'EU_ 42', 'EU_ 43', 'EU_ 44', 'EU_ 45', 'EU_ 46']","These penny loafers from Valentino Garavani are a timeless design. Crafted from leather in Italy, the style carries the signature VLogo chain detail across the vamp and is set atop rubber treaded soles.upper: leather lining: leather sole: leather insole, rubber sole almond toe Made in Italy comes with dust bags comes with a box Designer colour name: Nero True to size Half sizes please take the next size down European sizes","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2c/P00689123_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2c/P00689123_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2c/P00689123_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2c/P00689123_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2c/P00689123_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2c/P00689123_d4.jpg']"
"['Men', 'Stone Island', 'Shoes', 'Boots', 'Lace up boots', 'Suede lace-up ankle boots']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5b/P00706960.jpg,Stone Island,Suede lace-up ankle boots,P00706960,€ 415,€ 290,30%,"['EU_ 41', 'EU_ 42', 'EU_ 43', 'EU_ 44', 'EU_ 45', 'EU_ 46']","These suede lace-up boots from Stone Island rest atop rubber soles that feature slip-proof Vibram®. The brown pair is made in Italy and accented by the label’s logo on the tongue and metal rivets.upper: leather lining: leather sole: leather insole, rubber sole almond toe lace-up Made in Portugal comes with a box Designer colour name: Military Green True to size Half sizes please take the next size up European sizes","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5b/P00706960_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5b/P00706960_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5b/P00706960_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5b/P00706960_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5b/P00706960_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5b/P00706960_d4.jpg']"
"['Men', 'Valentino Garavani', 'Shoes', 'Sneakers', 'Designer sneakers', 'Open Skate leather sneakers']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/eb/P00689140.jpg,Valentino Garavani,Open Skate leather sneakers,P00689140,€ 640,€ 448,30%,"['EU_ 39', 'EU_ 40', 'EU_ 41', 'EU_ 42', 'EU_ 43', 'EU_ 44', 'EU_ 45', 'EU_ 46']","Valentino Garavani's Open Skate sneakers embody the refined rebellion of the After Club '22 collection. Balancing padded tongues and contrast coloring, these leather low-tops are finished with discreet house coding.upper: cow leather sole: fabric insole, rubber sole round toe lace-up Made in Italy comes with dust bags, comes with a box Designer colour name: Bianco-Nero-P.Grey True to size Half sizes please take the next size down European sizes","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/eb/P00689140_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/eb/P00689140_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/eb/P00689140_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/eb/P00689140_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/eb/P00689140_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/eb/P00689140_d4.jpg']"
"['Men', 'Valentino Garavani', 'Shoes', 'Sneakers', 'Designer sneakers', 'One Stud leather sneakers']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7a/P00570095.jpg,Valentino Garavani,One Stud leather sneakers,P00570095,€ 585,€ 409,30%,"['EU_ 39', 'EU_ 40', 'EU_ 41', 'EU_ 42', 'EU_ 43', 'EU_ 44', 'EU_ 45', 'EU_ 46', 'EU_ 47']","Inspired by skateboarding styles, these low-top sneakers from Valentino Garavani are made from nappa leather and feature molded stud detailing on the rubber soles and a single Maxi stud embellishment.upper: lamb leather lining: leather sole: leather insole, rubber sole round toe lace-up Made in Italy Designer colour name: White Grey Black Comes with a box Comes with dust bags Comes with extra laces Fits large to size - we recommend trying one size smaller European sizes","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7a/P00570095_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7a/P00570095_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7a/P00570095_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7a/P00570095_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7a/P00570095_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/7a/P00570095_d4.jpg']"
"['Men', 'Valentino Garavani', 'Shoes', 'Sneakers', 'Low-Top', 'Open Skate leather sneakers']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a8/P00675817.jpg,Valentino Garavani,Open Skate leather sneakers,P00675817,€ 585,€ 409,30%,"['EU_ 39', 'EU_ 40', 'EU_ 41', 'EU_ 42', 'EU_ 43', 'EU_ 44', 'EU_ 45', 'EU_ 46']","Valentino Garavani's Open Skate sneakers embody the refined rebellion of the After Club '22 collection. Balancing padded tongues and contrast coloring, these leather low-tops are finished with discreet house coding.upper: cow leather lining: fabric sole: fabric insole, rubber sole round toe lace-up Made in Italy comes with extra laces comes with a box Designer colour name: Bianco-Nero-P.Grey Fits large to size - we recommend trying one size smaller European sizes","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a8/P00675817_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a8/P00675817_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a8/P00675817_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a8/P00675817_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a8/P00675817_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/a8/P00675817_d4.jpg']"
"['Men', 'Valentino Garavani', 'Shoes', 'Boots', 'Chelsea boots', 'Beatle VLogo leather Chelsea boots']",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00689113.jpg,Valentino Garavani,Beatle VLogo leather Chelsea boots,P00689113,€ 855,€ 598,30%,"['EU_ 40', 'EU_ 41', 'EU_ 42', 'EU_ 43', 'EU_ 44', 'EU_ 45', 'EU_ 46']","The Beatle VLogo Chelsea boots from Valentino Garavani are made in Italy from smooth calfskin leather with elasticated gussets and pull tabs. The pair is finished with tonal VLogo hardware at the back.upper: leather lining: leather sole: leather insole, rubber sole round toe elasticated sides Made in Italy comes with a box comes with dust bags Designer colour name: Nero True to size Half sizes please take the next size up European sizes","['https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00689113_b1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00689113_b2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00689113_d1.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00689113_d2.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00689113_d3.jpg', 'https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00689113_d4.jpg']"
